isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,description_length,book_age,tag_clean
9780307960481,030796048X,Phantom,A Detective Hole Novel (9),Jo Nesbo,Fiction,https://books.google.com/books/content?id=LU0bw4eGDAkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"INTERNATIONAL BESTSELLER • Jo Nesbø’s Detective Hole is coming soon to Netflix • An “addictive page-turner” (Los Angeles Times)—Inspector Harry Hole attempts to exonerate his would-be son Oleg in this installment of the New York Times bestselling series. When Harry Hole moved to Hong Kong, he thought he was escaping the traumas of his life in Oslo and his career as a detective for good. But now, the unthinkable has happened—Oleg, the boy he helped raise, has been arrested for killing a man. Harry can't believe that Oleg is a murderer, so he returns to hunt down the real killer. Although he's off the police force, he still has a case to solve that will send him into the depths of the city’s drug culture, where a shockingly deadly new street drug is gaining popularity. This most personal of investigations will force Harry to confront his past and the wrenching truth about Oleg and himself.",2012,3.5,456.0,29.0,155,14,fiction
9780307961358,0307961354,The Antagonist,,Lynn Coady,Fiction,https://books.google.com/books/content?id=d3MBLgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Mistaken for a goon because of his large size and strength, gentle Gordon Rankin, Jr. struggles to live up to everyone's expectations until a cruel twist of fate forces him underground, where he learns that a former friend has written a satirical book based on his life. By the award-winning author of The Antagonist.",2013,4.5,285.0,,54,13,fiction
9780307961440,0307961443,The Remains of the Day,Introduction by Salman Rushdie,Kazuo Ishiguro,Fiction,https://books.google.com/books/content?id=jECTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"From the Nobel Prize–winning author, here is an elegant Everyman's Library hardcover edition of the universally acclaimed novel—winner of the Booker Prize, a bestseller, and the basis for an award-winning film—with full-cloth binding, a silk ribbon marker, a chronology, and an introduction by Salman Rushdie. Here is Kazuo Ishiguro's profoundly compelling portrait of Stevens, the perfect butler, and of his fading, insular world in post-World War II England. Stevens, at the end of three decades of service at Darlington Hall, spending a day on a country drive, embarks as well on a journey through the past in an effort to reassure himself that he has served humanity by serving the ""great gentleman,"" Lord Darlington. But lurking in his memory are doubts about the true nature of Lord Darlington's ""greatness,"" and much graver doubts about the nature of his own life.",2012,4.5,298.0,,140,14,fiction
9780307977564,0307977560,The Apple Throne,,Tessa Gratton,Unknown,https://via.placeholder.com/128x192.png?text=No+Cover,"""In the United States of Asgard, Astrid Glyn leaves her sacred apple orchard for the first time in almost two years to search for the boy she loves, Soren Bearstar, who has gone missing""--",2015,4.5,298.0,,34,11,unknown
9780307980502,0307980502,High Time for Heroes,,Mary Pope Osborne,Juvenile Fiction,https://books.google.com/books/content?id=b7jAnAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Jack and Annie are magically transported to mid-1800's Thebes where they are saved from a dangerous accident by Florence Nightingale!""--",2014,4.0,118.0,1.0,20,12,juvenile fiction
9780307980540,0307980545,Soccer on Sunday,,Mary Pope Osborne,Juvenile Fiction,https://books.google.com/books/content?id=xy0mnwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Jack and Annie search for the fourth secret of greatness for Merlin the Magician in Mexico City at the 1970 World Cup Games. They hope to learn something new from soccer player great, Pele""--",2014,5.0,115.0,1.0,34,12,juvenile fiction
9780307986658,0307986659,Masterminds & Wingmen,"Helping Our Boys Cope with Schoolyard Power, Locker-room Tests, Girlfriends, and the New Rules of Boy World",Rosalind Wiseman,Education,https://books.google.com/books/content?id=k2-ODQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Decodes the inner lives of boys to reveal how parents can forge stronger connections with their sons, explaining how boys are more likely to hide their feelings and resist adult support.",2013,4.5,386.0,,31,13,education
9780307986818,0307986810,Life on the Edge,The Coming of Age of Quantum Biology,Johnjoe McFadden;Jim Al-Khalili,Science,https://books.google.com/books/content?id=EeSODQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Originally published in hardcover in Great Britain as Life on the Edge by Bantam Press, an imprint of Transworld Publishers, a division of Penguin Random House Ltd. in 2014.""--Title page verso.",2014,4.5,370.0,,31,12,science
9780307990853,0307990850,A Wanted Man,A Jack Reacher Novel,Lee Child,Fiction,https://books.google.com/books/content?id=lwKNEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A masterpiece of suspense from #1 New York Times bestselling author Lee Child Four people in a car, hoping to make Chicago by morning. One man driving, eyes on the road. Another man next to him, telling stories that don’t add up. A woman in the back, silent and worried. And next to her, a huge man with a broken nose, hitching a ride east to Virginia. An hour behind them, a man lies stabbed to death in an old pumping station. He was seen going in with two others, but he never came out. He has been executed, the knife work professional, the killers vanished. Within minutes, the police are notified. Within hours, the FBI descends, laying claim to the victim without ever saying who he was or why he was there. All Reacher wanted was a ride to Virginia. All he did was stick out his thumb. But he soon discovers he has hitched more than a ride. He has tied himself to a massive conspiracy that makes him a threat—to both sides at once. In Lee Child’s white-hot thriller, nothing is what it seems, and nobody is telling the truth. As the tension rises, the twists come fast and furious, keeping readers guessing and gasping until the explosive finale. Praise for #1 bestselling author Lee Child and his Reacher series “Child is a superb craftsman of suspense.”—Entertainment Weekly “The truth about Reacher gets better and better.”—Janet Maslin, The New York Times “Implausible, irresistible Reacher remains just about the best butt-kicker in thriller-lit.”—Kirkus Reviews “Like his hero Jack Reacher, Lee Child seems to make no wrong steps.”—Associated Press “Lee Child [is] the current poster-boy of American crime fiction.”—Los Angeles Times “Indisputably the best escape artist in this escapist genre.”—Marilyn Stasio, The New York Times “Jack Reacher is much more like the heir to the Op and Marlowe than Spenser ever was.”—Esquire",2012,4.5,298.0,,313,14,fiction
9780309071444,0309071445,LC21,A Digital Strategy for the Library of Congress,"National Research Council;Commission on Physical Sciences, Mathematics, and Applications;Computer Science and Telecommunications Board;Committee on an Information Technology Strategy for the Library of Congress",Law,https://books.google.com/books/content?id=qfSbAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Digital information and networks challenge the core practices of libraries, archives, and all organizations with intensive information management needs in many respectsâ€""not only in terms of accommodating digital information and technology, but also through the need to develop new economic and organizational models for managing information. LC21: A Digital Strategy for the Library of Congress discusses these challenges and provides recommendations for moving forward at the Library of Congress, the world's largest library. Topics covered in LC21 include digital collections, digital preservation, digital cataloging (metadata), strategic planning, human resources, and general management and budgetary issues. The book identifies and elaborates upon a clear theme for the Library of Congress that is applicable more generally: the digital age calls for much more collaboration and cooperation than in the past. LC21 demonstrates that information-intensive organizations will have to change in fundamental ways to survive and prosper in the digital age.",2001,4.5,285.0,,148,25,law
9780310225584,0310225582,Surprised by the Voice of God,"How God Speaks Today Through Prophecies, Dreams, and Visions",Jack Deere,"Body, Mind & Spirit",https://books.google.com/books/content?id=xu-rJlp4DwYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"""[This book] takes you tgo the Bible to discover the variety of creative, deeply personal ways God still communicates with us today. ...""--Back cover",1998,4.5,388.0,,24,28,"body, mind & spirit"
9780310246046,0310246040,How to Read the Bible for All Its Worth,,Gordon D. Fee;Douglas K. Stuart,Religion,https://books.google.com/books/content?id=b054-T4A2osC&printsec=frontcover&img=1&zoom=1&source=gbs_api,This book helps readers determine what Scriptures meant at the time they were written and how that meaning applies to us today.,2003,5.0,292.0,5.0,22,23,religion
9780310247562,031024756X,Ever After,,Karen Kingsbury,Fiction,https://books.google.com/books/content?id=sREjDcZvCv0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Twenty-year-old Emily meets Justin, a young Army reservist, and their deep love built on the foundation of faith blossoms into plans for marriage, while Emily's parents must learn to set aside their opposing views on the war in Iraq.",2007,5.0,372.0,6.0,39,19,fiction
9780310327653,0310327652,Letters to God,A Novel,Patrick Doughtie;John Perry,Fiction,https://books.google.com/books/content?id=8GJJb-Zf8OAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tyler, a nine-year-old boy, is stricken with incurable brain cancer and begins to write letters to God. He turns his suffering into spiritual lessons for his widowed mother, his embittered adolescent brother, and a troubled postman.",2010,4.5,258.0,,36,16,fiction
9780310863762,0310863767,Revelation Unveiled,,Tim LaHaye,Religion,https://books.google.com/books/content?id=DrXHTy7_POcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"In Revelation Unveiled, Dr. Tim LaHaye, co-author of the best-selling Left Behind series, reveals the scriptural foundation of beloved novels. In this book, LaHaye explains the biblical topics he and Jerry Jenkins explored in Left Behind: The rapture of the church: The Return of Christ The Great Tribulation The Final Battle against Satan and His Hosts The Seven Seals The Antichrist The Seven Trumpets The Seven Bowls of Wrath The Great White Throne The Destruction of Babylon The New Heaven and New Earth Previously titled Revelation Illustrated and Made Plain, this revised and updated, verse-by-verse commentary of the book of Revelation includes numerous charts. With simple and accessible language, Revelation Unveiled will help you better understand the mysterious, final book of the Bible and its implications. Perfect for fans of the Left Behind books and for anyone confused or curious about the book of Revelation.",2010,5.0,386.0,1.0,145,16,religion
9780312022907,0312022905,The Spycatcher Affair,,Chapman Pincher,Law,https://via.placeholder.com/128x192.png?text=No+Cover,"An inside account of British spy Peter Wright's best-selling memoirs ""Spycatcher,"" and the sensational courtroom drama that ensued when the British government attempted to stop publication",1988,4.5,305.0,,26,38,law
9780312034290,0312034296,The Song of Bernadette,,Franz Werfel,Fiction,https://books.google.com/books/content?id=2-T-33K_Cz0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Retells the experiences of Bernadette Soubirous, a young French woman who was visited by an image of the Virgin Mary in Lourdes, France.",1989,4.0,598.0,2.0,23,37,fiction
9780312051648,0312051646,Sweater Design in Plain English,,Maggie Righetti,Crafts & Hobbies,https://books.google.com/books/content?id=bEVceZ8KCqEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"If you're tired of making sweaters with sleeves that are the wrong length, necklines that droop, armholes that are too tight, and an overall look that's not quite right, then let Seater Design in Plain English come to your rescue. In clear, straightforward terms, Maggie Righettie shares her knitting know-how and good fashion sense so that, no matter what your knitting level, you can overcome the fear of failure, avoid costly mistakes, adapt already-existing patterns, and plan and create sweaters that really fit and look terrific-sweaters that will be worn for many years to come. Topics and techniques include: -Understanding the nature of yarn and pattern stitches -Choosing the most flattering color and design for the wearer -Taking accurate body measurements -Estimating the amount of yarn you'll need -How to tell whether or not a sweater will look good on you-before you start to knit -How to alter printed patterns so they really fit -How to understand the mathematics of gauge and pattern design -Plus start-to-finish instructions for thirteen classic sweaters Each technique is illustrated with clear diagrams, sketches, or photographs. Complete with conversion charts and a personal-measurements record-keeping section, Sweater Design in Plain English takes the guesswork out of every creative knitting effort.",1990,4.5,420.0,,204,36,crafts & hobbies
9780312156961,0312156960,The Winter King,A Novel of Arthur,Bernard Cornwell,Fiction,https://books.google.com/books/content?id=d5blEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A retelling of the Arthurian legend from the point of view of Derfel Cadarn, one of Arthur's warriors who later becomes a monk.",1997,4.5,298.0,,23,29,fiction
9780312157012,0312157010,The Year's Best Fantasy and Horror: Tenth Annual Collection,,Ellen Datlow;Terri Windling,Fiction,https://books.google.com/books/content?id=dqYNAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This acclaimed series, winner of numerous World Fantasy Awards, continues its tradition of excellence with scores of short stories from such writers as Michael Bishop, Edward Bryant, Angela Carter, Terry Lamsley, Gabriel Garcia Marquez, A.R. Morlan, Robert Silverberg, Michael Swanwick, Jane Yolen, and many others. Supplementing the stories are the editors' invaluable overviews of the year in fantastic fiction, Edward Bryant's witty roundup of the year's fantasy films, and a long list of Honorable Mentions-all of which adds up to an invaluable reference source, and a font of fabulous reading.",1997,4.5,644.0,,90,29,fiction
9780312160067,0312160062,"The Kurdish Struggle, 1920-94",,Edgar O'Ballance,Political Science,https://books.google.com/books/content?id=UHFhQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Forming minorities in five adjacent countries for 74 years, Kurds have been fighting for independence or autonomy, against governments reluctant to accede either. The Kurdish saga is one of periodic insurrections, partial victories, misfortunes, defeats, betrayal, national repression, clashing personalities, changing allegiances and an unusual mixture of heroism and expendiency. Kurds used governments, and governments used Kurds. A good insight is given into both political and military aspects of the struggle, and of the motives and machinations of major personalities involved.",1996,4.5,272.0,,81,30,political science
9780312174262,0312174268,Beyond Postcolonial Theory,,E. San Juan,Literary Criticism,https://books.google.com/books/content?id=9JK8QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Opposing the orthodoxies of establishment postcolonialism, Beyond Postcolonial Theory posits acts of resistance and subversion by people of color as central to the unfolding dialogue with Western hegemony. The testimonies and signifying practices of Rigoberta Menchu, C.L.R. James, various ""minority"" writers in the United States, and intellectuals from Africa, Latin America, and Asia are counterposed against the dogmas of contingency, borderland nomadism, panethnicity, and the ideology of identity politics and transcultural postmodern pastiche. Reappropriating ideas from Gramsci, Bakhtin, Althusser, Freire, and others in the radical democratic tradition, San Juan deploys them to recover the memory of national liberation struggles (Fanon, Cabral, Che Guevara) on the face of the triumphal march of globalized capitalism.",1997,4.5,336.0,,113,29,literary criticism
9780312180300,0312180306,In the Time of the Poisoned Queen,,Ann Dukthas,Fiction,https://books.google.com/books/content?id=R8hKHQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Scholar and diplomat Nicholas Segalla investigates the possibility that Queen Mary is being poisoned by one of her many rivals.,1998,4.5,273.0,,20,28,fiction
9780312181727,0312181728,A Scientific Romance,,Ronald Wright,Fiction,https://books.google.com/books/content?id=yhpvPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Because David Lambert has nothing to lose, he travels from 1999 into England's future in H. G. Wells's time machine, discovers a bleak world decimated by a mysterious civil war, and explores the questionable future of his own life.",1998,4.5,352.0,,39,28,fiction
9780312181772,0312181779,Dakota Days,The True Story of John Lennon's Final Years,John Green,Rock musicians,https://via.placeholder.com/128x192.png?text=No+Cover,"A candid, poignant portrait of John Lennon focuses on the last six years of his life, detailing his stormy relationship with Yoko Ono, his personal and artistic problems and triumphs, and his tragic death.",1984,4.5,320.0,,34,42,rock musicians
9780312187149,0312187149,Enemy of God,A Novel of Arthur,Bernard Cornwell,Fiction,https://books.google.com/books/content?id=z-bgoLAOG0YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Having achieved a fragile peace with the Saxons, Arthur turns his attention to more dangerous enemies, those who pose as friends.",1998,4.0,420.0,14.0,21,28,fiction
9780312200763,0312200765,The Greek Vegetarian,More Than 100 Recipes Inspired by the Traditional Dishes and Flavors of Greece,Diane Kochilas,Cooking,https://books.google.com/books/content?id=xdFP7vjdJrcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A renowned Greek chef offers an authoritative, celebratory, beautifully written cookbook that takes the trend of vegetarian ethnic cooking to new heights. 16-page color photo insert. Line illustrations throughout.",1999,4.0,228.0,2.0,29,27,cooking
9780312202514,0312202512,Quick Baby Knits,Over 25 Quick and Easy Designs for 0-3 Year Olds,Debbie Bliss,Crafts & Hobbies,https://books.google.com/books/content?id=hwC36_DEu40C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of quick and easy designs, perfect for first-time knitters and everyone with limited time. Includes a wide range of delightful ideas, from a baby blnaket and ballerina cardigan to a stylish hooded sweater and zipped jacket. Every design is illustrated in irresistible color photography.",1999,4.5,84.0,,46,27,crafts & hobbies
9780312203252,031220325X,The Samurai's Wife,,Laura Joh Rowland,Fiction,https://books.google.com/books/content?id=qKaFjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sano Ichiro, special investigator to the shogun, discovers that he needs the help of his new wife Reiko more than ever after he finds himself embroiled in a case involving a sinister murderer. By the author of The Concubine's Tattoo. 20,000 first printing.",2000,4.5,203.0,,43,26,fiction
9780312219321,0312219326,Classical Liberalism,The Unvanquished Ideal,D. Conway,Philosophy,https://books.google.com/books/content?id=EnvVwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This text defends the ideal of minimum government against the charges put forward by egalitarian welfare liberals, communitarians and conservatives, arguing it best advances human well being.",1998,4.5,150.0,,27,28,philosophy
9780312221775,0312221770,Gandhi's Dilemma,Nonviolent Principles and Nationalist Power,NA NA,Political Science,https://books.google.com/books/content?id=fMnkwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Throughout his long career as a political thinker and activist, Mahatma Gandhi encountered the dilemma of either remaining faithful to his nonviolent principles and risking the failure of the Indian nationalist movement, or focusing on the seizure of political power at the expense of his moral message. Putting forward his vision of a ""nonviolent nationalism,"" Gandhi argued that Indian self-rule could be achieved without sacrificing the universalist imperatives of his nonviolent philosophy. Conceived as a study in the history of political thought, this book examines the origins, meaning, and unfolding of Gandhi s dilemma as it played itself out in both theory and political practice. This discussion is inextricably linked to significant and timely issues that are critical for the study of nationalism, for Gandhi s vision raises the important question of whether it is indeed possible to construct a benign type of nationalism that is rooted in neither physical nor conceptual forms of violence.",2000,4.5,232.0,,155,26,political science
9780312225438,0312225431,Culture and Politics,A Reader,NA NA,Political Science,https://books.google.com/books/content?id=GHV6PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Political culture is one of the central, but most difficult, concepts in political science. Culture and Politics: A Reader explores this concept by compiling previously-published works that focus on the core themes of political culture research: Concepts and Applications, Culture and Globalization, Popular Culture, Civil Society and Social Capital, Social Movements and Collective Identity, Culture and Political Change, and Culture and Rationality. Each section includes general and article introductions as well as a 'suggested reading' list. Culture and Politics: A Reader provides a handy resource for students and teachers at both the graduate and under-graduate level.",2000,4.5,440.0,,96,26,political science
9780312238292,0312238290,Boy-Wives and Female-Husbands,Studies in African Homosexualities,NA NA,Social Science,https://books.google.com/books/content?id=1GPjwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Claims concerning the presence and status of homosexuality in historic African cultures have become central points of contention in debates among contemporary African Americans. Some of those involved in the debate have even asserted that the original languages of Africa contained no words for gay or lesbian, therefore concluding that they did not exist. As the first work of its kind on the subject, Boy-Wives and Female-Husbands answers an urgent need for accurate, well-researched, and balanced work on African sexuality. It offers perspectives from the fields of anthropology and history, along with extensive evidence from ethnographic and literary sources. The essays explore such topics as woman-woman marriages, early reports of Malagasy ""berdaches,"" male homosexuality in contemporary West Africa, alternative gender identities among the Swahili, the regulation of sexuality in colonial Zimbabwe, and the portrayals of homosexuality in modern African literature. Bound to be an invaluable resource for discussions of traditional and contemporary African cultures, Boy-Wives and Female-Husbands is a book whose time has clearly come.",2001,4.5,358.0,,165,25,social science
9780312242978,0312242972,Cooking In Paradise,Culinary Vacations Around the World,Joel Naftali;Lee Naftali,Cooking,https://books.google.com/books/content?id=dXHi1U-QjUsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Want to saute in Sicily? Practice patisserie in Paris? ""Cooking in Paradise"" shows readers how to get there, with over 150 listings for cooking vacation programs around the world--and a handful in the United States. Includes contact information, recipes, and line drawings throughout.",2001,4.5,340.0,,43,25,cooking
9780312269234,0312269234,Feeling Sorry for Celia,A Novel,Jaclyn Moriarty,Fiction,https://books.google.com/books/content?id=SF2LAwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An epistolary novel uses letters written between teenage friends, refrigerator notes from a crazy mother, and epistles that express the narrator's own internal feelings of self-doubt to weave this bittersweet coming of age story.",2001,4.5,289.0,,34,25,fiction
9780312273194,0312273193,The Hunting of the President,The Ten-Year Campaign to Destroy Bill and Hillary Clinton,Joe Conason;Gene Lyons,Biography & Autobiography,https://books.google.com/books/content?id=DPNYQBwQ7uoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Examines the campaign to discredit Bill and Hillary Clinton which began in 1989 and almost brought down the president ten years later.,2001,4.5,436.0,,22,25,biography & autobiography
9780312284190,0312284195,Super-Cannes,A Novel,J. G. Ballard,Fiction,https://books.google.com/books/content?id=CbyomA90pn8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""... one day Dr. Greenwood from Eden-Olympia's clinic goes on a suicidal shooting spree. Dr. Jane Sinclair is hired as his replacement, and she and her husband, Paul, are given Dr. Greenwood's house as a residence. Unable to work while recovering from an accident, Paul spends his days taking a close look at the house ... He discovers clues in the house that lead him to question Eden-Olympia's official account of the killings.""--Jacket.",2001,4.5,403.0,,73,25,fiction
9780312294045,0312294042,Histories of Heresy in the Seventeenth and Eighteenth Centuries,"For, Against, and Beyond Persecution and Toleration",J. Laursen,Philosophy,https://books.google.com/books/content?id=ym-7wAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Toleration of differing religious ideas exists in parts of the contemporary world, but it is still not clear how this came about. Recent work has uncovered the enormous importance one branch of historiography has had in bringing about such tolerance as we have: histories of heresy. This book brings together experts in this field in order to attempt to map out the contours and features of the influence of these histories on early modern and modern conceptions of toleration. Perhaps by showing heretics and heresies to be more benign than once thought, these histories could tease tolerance from the intolerant. The essays in this book attempt to piece together the intentions and effects of key works from this literature in the promotion or rejection of toleration in theory and practice.",2002,4.5,290.0,,130,24,philosophy
9780312294854,0312294859,Perspectives on Political Parties,Classic Readings,S. Scarrow,Political Science,https://books.google.com/books/content?id=eeA9vgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Perspectives on Political Parties is a collection of primary documents that show the changing understandings of partisan politics during the nineteenth century, the first era in which parties played a central role in governing. The texts taken from British, American, German and French publication, speak to today's students and scholars of history and political science by showing the deep roots of still-current debates about representative democracy and mass politics. The reader is designed to fill a hole in contemporary teaching and scholarship by assembling hard to access sources that form the basis of modern debates about parties.",2002,4.5,264.0,,97,24,political science
9780312295813,0312295812,Theories of Federalism: A Reader,,Dimitrios Karmis;Wayne Norman,Political Science,https://books.google.com/books/content?id=yAqKQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This reader brings together the most significant writings on federalism from the seventeenth century to the present. Federalist theories have received short shrift in most texts and university courses on the history of political thought. We tend to read this history, from Hobbes to Rawls, as if the greatest political thinkers were concerned exclusively with the unitary nation-state. Yet running parallel to this tradition is another concerned with the best ways for multiple political communities to share the same political space in federative arrangements. Many of the most famous political thinkers--including Rousseau, Kant, and J.S. Mill--have participated in both traditions, although until now their federalist writings have been less-well-known and harder to find.",2005,4.5,352.0,,113,21,political science
9780312301439,031230143X,Can't Stop Won't Stop,A History of the Hip-Hop Generation,Jeff Chang,History,https://books.google.com/books/content?id=4aofRcBRvMgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Forged in the fires of the Bronx and Kingston, Jamaica, Hip Hop has been a generation-defining movement. In a post-civil rights era transformed by deindustrialisation and globalisation, Hip Hop became a job-making engine and forever transformed politics and culture. Based on more than a decade of original interviews with DJs, b-boys, graffitti writers, gang members and rappers, and featuring unforgettable portraits of many of Hip Hop's forbears and mavericks, this book chronicles the rise and rise of this movement through vivid cultural criticism and detailed narrative.",2005,4.5,561.0,2.0,86,21,history
9780312316075,0312316070,Dr. Atkins' Age-Defying Diet,,Robert C. Atkins;Sheila Buff,Health & Fitness,https://books.google.com/books/content?id=0YF4wqI4xjQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With more than 1 million copies in print, the ""New York Times"" bestseller is now available in a trade paperback edition.",2003,4.5,388.0,,21,23,health & fitness
9780312322816,031232281X,Gain the Edge!,Negotiating to Get What You Want,Martin E. Latz,Business & Economics,https://books.google.com/books/content?id=XhP823PgilgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A former negotiator for the White House offers a practical nuts-and-bolts guide that takes readers from theory to hands-on techniques on how to negotiate effectively.,2004,4.5,392.0,,25,22,business & economics
9780312335328,0312335326,The Lord God Made Them All,,James Herriot,Biography & Autobiography,https://books.google.com/books/content?id=jVhc-X7wAs4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Continues the memoirs of Yorkshire veterinarian James Herriot, as life for Herriot, his wife, and two children gets back to normal after World War II.",1981,3.0,390.0,2.0,25,45,biography & autobiography
9780312343798,0312343795,The Blonde,,Duane Swierczynski,Fiction,https://books.google.com/books/content?id=sz1rjjPMj7QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Flirting with a pretty young blonde he meets in an airport bar, Jack Eisley is stunned when she tells him that she has poisoned his drink and will only give him the antidote if he remains close to protect her from the various perils threatening her life.",2006,4.5,256.0,,47,20,fiction
9780312347321,0312347324,Fear and Trembling,A Novel,Amelie Nothomb,Fiction,https://books.google.com/books/content?id=k1Z8_Vxj_PoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"According to ancient Japanese protocol, foreigners deigning to approach the emperor did so only with fear and trembling. Terror and self-abasement conveyed respect. Amélie, our well-intentioned and eager young Western heroine, goes to Japan to spend a year working at the Yumimoto Corporation. Returning to the land where she was born is the fulfillment of a dream for Amélie; working there turns into comic nightmare. Alternately disturbing and hilarious, unbelievable and shatteringly convincing, Fear and Trembling will keep readers clutching tight to the pages of this taut little novel, caught up in the throes of fear, trembling, and, ultimately, delight.",2004,4.5,148.0,,100,22,fiction
9780312347390,0312347391,Time Was Soft There,A Paris Sojourn at Shakespeare & Co.,Jeremy Mercer,Biography & Autobiography,https://books.google.com/books/content?id=PPuKgzze-wIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In a leafy square on Paris's Left Bank, a young writer finds a home and an unlikely mentor among the shelves of a legendary bookshop.",2005,4.5,280.0,,25,21,biography & autobiography
9780312349059,031234905X,How to Cheat Your Friends at Poker,The Wisdom of Dickie Richard,Penn Jillette;Mickey D. Lynn,Games & Activities,https://books.google.com/books/content?id=5arz3a42ww4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Poker-mania is sweeping the nation, from the World Championship of Poker to internet poker and power poker. But home poker games shouldn't just be about winning: they're about stripping your opponents bare without their ever suspecting a thing. Teaming up with Mickey Lynn, Penn Jillette gives a home poker player everything he needs to know in one tidy volume. Lousy with attitude, stylish with swagger, How to Cheat Your Friends at Poker delivers a lifetime's worth of card-shark knowledge, including how to: --pick your marks --mark cards --use ""shiners"" to keep track of other player's hands --cut cards --stash holdouts This is not a book about how to play poker-the shelves are already full of those-it's about how to cheat, make money, and win big. If you're in the game, you're either a fish or a shark. How to Cheat Your Friends at Poker is the ultimate shark's playbook.",2005,4.5,544.0,,149,21,games & activities
9780312363253,0312363257,150 Knitted Trims,"Designs for Beautiful Decorative Edgings, from Beaded Braids to Cables, Bobbles, and Fringes",Lesley Stanfield,Crafts & Hobbies,https://books.google.com/books/content?id=la3GGhQhWJIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Yarns, needles, and abbreviations -- Refresher course -- Directory of trims -- Easy pieces -- Braids -- Frills and flounces -- Lacy edgings -- Loops and fringes -- Insertions -- Additions -- Technical data -- Projects -- Baby overalls -- Herb cushion -- Summer hat -- Floral bag -- Winter warmers.",2007,5.0,134.0,1.0,51,19,crafts & hobbies
