isbn13,title,authors,description,categories,tag_clean,thumbnail,average_rating,ratings_count,published_year,num_pages,description_length,book_age,joy,sadness,anger,fear,surprise,disgust,neutral,top_emotions
9780099458265,Human Traces,Sebastian Faulks,"As young boys both Jacques RebiSre and Thomas Midwinter become fascinated with trying to understand the human mind.As psychiatris- ts, their quest takes them from the squalor of the Victorian lunatic asylum to the crowded lecture halls of the renowned Professor Charcot in Paris; from the heights of the Sierra Madre in California to the plains of unexplored Africa. As the concerns of the old century fade and the First World War divides Europe, the two men's volatile relationship develops and changes, but is always tempered by one exceptional woman; Thomas's sister Sonia.Moving and challenging in equal measure, HUMAN TRACES explores the question of what kind of beings men and women really are.",Europe,europe,http://books.google.com/books/content?id=KTKZiwoIHMUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.63,3388.0,2006,793.0,113,18,0.0134,0.0092,0.1726,0.2281,0.0221,0.036,0.5186,"neutral,fear"
9780099460176,Blood Canticle,Anne Rice,"Lestat is back with a vengeance and in thrall to Rowan Mayfair. Both demon and angel, he is drawn to kill but tempted by goodness as he moves among the pantheon of Anne Rice's unforgettable characters. Julien Mayfair, his tormentor; Rowan, witch and neurosurgeon, who attracts spirits to herself, casts spells on others and finds herself dangerously drawn to Lestat; Patsy, country and western singer, who was killed by Quinn Blackwood and dumped in a swamp; Ash Templeton, a 5,000 year old Taltos whose genes live on in the Mayfairs. Now, Lestat fights to save Patsy's ghost from the dark realms of the Earthbound, to uncover the mystery of the Taltos and to decide the fate of Rowan Mayfair. Both of Anne Rice's irresistible realms - the worlds of Blackwood Farm and the Mayfair Witches - collide as Lestat struggles between his lust for blood and the quest for life, between gratification and redemption.",Horror tales,horror tales,http://books.google.com/books/content?id=iQjGwPtIEVAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.72,18646.0,2004,400.0,154,20,0.0046,0.1499,0.2661,0.1915,0.0115,0.1754,0.201,"anger,neutral"
9780099461098,Underground,Haruki Murakami,"This account of the 1995 gas attack on the Tokyo subway system by a Japanese religious cult is told, based on hundreds of interviews with survivors, relatives of those who died, and the perpetrators.",Cults,cults,http://books.google.com/books/content?id=i2104FzgbvIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,10003.0,2003,309.0,34,21,0.0055,0.0364,0.0279,0.0992,0.0238,0.2818,0.5256,"neutral,disgust"
9780099461265,Open House,Elizabeth Berg,"When Samantha Morrow's husband leaves her and her eleven-year-old son she is faced with the terrifying prospect of having to recreate her whole life. She opens her house to a series of lodgers who each in the eccentric way help her to see herself. And she shakes a friend, who shows her that she has the ability to make her own future.",Divorced women,divorced women,http://books.google.com/books/content?id=shlDD04amKoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.7,61.0,2003,314.0,62,21,0.001,0.0034,0.0094,0.9592,0.0061,0.0116,0.0093,"fear,disgust"
9780099462255,Like a Charm,Karin Slaughter,"The cream of British and American crime writers combine for a must- have collection of linked short stories- With each writer picking up the story in their usual locale (Val McDermid in Manchester, Denise Mina in Glasgow, Karin Slaughter in Atlanta), each of these prestigious crime writers tells a gripping story (original to this collection) of murder, betrayal and intrigue. And running through each story is a charm bracelet- which brings bad luck wherever it's found... The must- have collection for all fans of British and American crime writing at it's best...",Bracelets,bracelets,http://books.google.com/books/content?id=HVWEDUYM-YUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.5,1241.0,2004,384.0,92,20,0.2773,0.0285,0.0387,0.1038,0.0442,0.0203,0.4872,"neutral,joy"
9780099468196,Bleachers,John Grisham,"High school All-American Neely Crenshaw was probably the best quarterback ever to play for the legendary Messina Spartans. Fifteen years have gone by since those glory days, and Neely has come home to Messina to bury Coach Eddie Rake, the man who molded the Spartans into an unbeatable football dynasty. As Coach Rake's 'boys' sit in the bleachers waiting for the dimming field lights to signal his passing, they replay the old glories, and try to decide once and for all whether they love Eddie Rake - or hate him. For Neely Crenshaw, still struggling to come to terms with his explosive relationship with the Coach, his dreams of a great career in the NFL, and the choices he made as a young man, the stakes could not be higher.",Death,death,http://books.google.com/books/content?id=B9D3QT00fqEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.47,30096.0,2004,229.0,130,20,0.0105,0.0476,0.0195,0.0043,0.0052,0.0235,0.8895,"neutral,sadness"
9780099468646,Earthly Powers,Anthony Burgess,"Earthly Powers traces eighty- one years in the life of a Somerset Maugham- type writer and lapsed Catholic called Kenneth Toomey. A popular, second- rate novelist/playwright, he spends a lifetime unsuccessfully trying to reconcile his homosexuality with his faith. This is also the story of Carlo Campanati, an earthy Italian priest linked with Toomey through family ties. With dazzlingly inventive narrative spanning six decades, Burgess draws in major events and characters of the century while exploring themes of universal significance.",Fiction,fiction,http://books.google.com/books/content?id=3xBXx3Yg1cAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.15,2022.0,2004,649.0,80,20,0.1082,0.0097,0.0119,0.0047,0.0627,0.0148,0.788,"neutral,joy"
9780099471370,The Mummy,Anne Rice,"""Ramses the Great has reawakened in opulent Edwardian London. Having drunk the elixir of life, he is now Ramses the Damned, doomed forever to wander the earth, desperate to quell hungers that can never be satisfied. He becomes the close companion of a voluptuous heiress, Julie Stratford, but his cursed past again propels him toward disaster. He is tormented by searing memories of his last reawakening, at the behest of Cleopatra, his beloved queen of Egypt. And his intense longing for her, undiminished over the centuries, will force him to commit an act that will place everyone around him in the gravest danger....'Rice succeeds masterfully in blending horror and romance- Ramses is a fascinating character, heroic, yet tragically flawed by his human desires' - Atlanta Journal",Egyptologists,egyptologists,http://books.google.com/books/content?id=I9n126K6j6QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.83,36906.0,2004,480.0,126,20,0.0032,0.3784,0.0057,0.5611,0.0092,0.0147,0.0277,"fear,sadness"
9780099471431,Lasher,Anne Rice,"At the centre of Anne Rice's brilliant novel, the beautiful Rowan Mayfair, queen of the coven, must flee from the darkly brutal, yet irresistible demon known as Lasher. With a dreamlike power, this wickedly seductive entity draws us through twilight paths, telling a chillingly hypnotic story of spiritual aspirations and passion...",Demonology,demonology,http://books.google.com/books/content?id=UeyMABieKGMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85,48445.0,2004,883.0,51,20,0.1679,0.0452,0.0127,0.5903,0.0127,0.0283,0.1429,"fear,joy"
9780099472636,Survivor's Quest,Timothy Zahn,"Luke Skywalker and his wife, Mara, get a strange message from the Chiss: Come and get the remains of the mysterious Outbound Flight Project. But there is more than meets the eye to this unexpected gift, as the newlyweds come face to face with the past! For someone is still alive in the Outbound Flight ships, and they're not interested in visitors. Plus there's at least one imposter along on the mission, and maybe more, and it will be up to Luke and Mara to uncover all the secrets and prevent another war from breaking out.",Life on other planets,life on other planets,http://books.google.com/books/content?id=IF5ED39v65cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.97,7028.0,2005,480.0,96,19,0.0133,0.0087,0.0194,0.0152,0.3904,0.0133,0.5396,"neutral,surprise"
9780099474128,Women Who Love Too Much,Robin Norwood,"Is having 'somebody to love' the most important thing in your life? Do you constantly believe that with 'the right man' you would no longer feel depressed or lonely? Are you bored with 'nice guys' who are open, honest and dependable? If being in",Alcoholics,alcoholics,http://books.google.com/books/content?id=_v6tu8Tpyq8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,239.0,2004,314.0,44,20,0.0018,0.9842,0.001,0.0013,0.0032,0.0018,0.0067,"sadness,neutral"
9780099474395,The Talisman Ring,Georgette Heyer,"A witty and enthralling Regency romance by one of the best-known and most beloved historical novelists. The legend of the Headless Horseman and a proposed marriage de convenance both have their impact on the mystery of a golden talisman ring and Lord Lavenham's young heir, Ludovic. Neither Sir Tristram Shield nor Eustacie, his young French cousin, share the slightest inclination to marry one another, yet it is Lord Lavenham's dying wish. For there is no one else to provide for the old man's granddaughter while Ludovic remains a fugitive from justice ... Yet again Georgette Heyer shows the qualities that made her one of the most successful and best-loved romantic novelists of her age, and why her popularity endures to this day.",Great Britain,great britain,http://books.google.com/books/content?id=7Efhi0DF2i0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.0,5332.0,2005,268.0,122,19,0.2735,0.4276,0.0043,0.0031,0.0281,0.0115,0.252,"sadness,joy"
9780099474425,The Convenient Marriage,Georgette Heyer,"When the eligible Earl of Rule offers for the hand of the Beauty of the Winwood Family, he has no notion of the distress he causes his intended. For Miss Lizzie Winwood is promised to the excellent, but impoverished Mr Edward Heron. Disaster can only be averted by the delightful impetuosity of her youngest sister, Horatia, who conceives her own, distinctly original plans ... Fo over fifty years until her death in 1974, Georgette Heyer was the undisputed queen of historical romantic fiction, and the The Convenient Marriage shows why she configures to be loved by a huge readership to this day.",Fiction,fiction,http://books.google.com/books/content?id=pqKV8h7Lj_cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.68,8899.0,2005,272.0,102,19,0.2211,0.4033,0.0063,0.0568,0.0108,0.0109,0.2908,"sadness,neutral"
9780099474463,Lady of Quality,Georgette Heyer,"Independent and spirited. Miss Annis Wychwood gives little thought to finding herself a suitable husband, thus dashing the dreams of many hopeful suitors. When she becomes embroiled in the affairs of the runaway heiress Lucilla, though, she encounters the beautiful fugitive's guardian - as rakish and uncivil a rogue she has ever met. Although, chafing a bit at the restrictions of Regency society in Bath, Annis does have to admit that Oliver Carleton, at least, is never boring.",Fiction,fiction,http://books.google.com/books/content?id=YwPmnE8bYGwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.87,5706.0,2005,267.0,78,19,0.0094,0.0403,0.1061,0.0047,0.0014,0.6406,0.1974,"disgust,neutral"
9780099474548,A Very Long Engagement,Sébastien Japrisot,"One bitter night in January 1917, five French soldiers are court-martialled and sent into No-Man's Land. Days later, five corpses are given a hasty burial. After the war, the fiancée of one of the men sets out to discover what happened.",Feature films [DVD],feature films [dvd],http://books.google.com/books/content?id=4XejAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.91,79.0,2004,320.0,41,20,0.0022,0.1339,0.6051,0.0046,0.0024,0.218,0.0338,"anger,disgust"
9780099476337,False Colours,Georgette Heyer,The Honourable Christopher Fancot is forced into an outrageous masquerade by the tangled affairs of his wayward family.,Brothers,brothers,http://books.google.com/books/content?id=F7HoSc6VaVkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85,4332.0,2005,303.0,18,19,0.0021,0.0329,0.2672,0.0084,0.003,0.6381,0.0482,"disgust,anger"
9780099476351,Sprig Muslin,Georgette Heyer,"Sir Gareth Ludlow knows it is his duty as a man of honour to restore so young and pretty a girl as Amanda, wandering unattended, to her family. But it is to prove no easy task for the Corinthian.",England,england,http://books.google.com/books/content?id=csG8_CumWtYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.79,4847.0,2005,268.0,39,19,0.0071,0.1445,0.0191,0.03,0.0023,0.1013,0.6956,"neutral,sadness"
9780099477310,Catch-22,Joseph Heller,"WITH AN INTRODUCTION BY HOWARD JACOBSON Explosive, subversive, wild and funny, 50 years on the novel's strength is undiminished. Reading Joseph Heller's classic satire is nothing less than a rite of passage. Set in the closing months of World War II in an American bomber squadron off the coast of Italy, Catch-22 is the story of a bombardier named Yossarian who is frantic and furious because thousands of people he has never even met keep trying to kill him. Joseph Heller's bestselling novel is a hilarious and tragic satire on military madness, and the tale of one man's efforts to survive it.",Fiction,fiction,http://books.google.com/books/content?id=uciYmbP_JV0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.98,5307.0,1994,519.0,102,30,0.0212,0.0034,0.6652,0.2586,0.0075,0.0089,0.0352,"anger,fear"
9780099478393,The Quiet American,Graham Greene,"Discover Graham Green's prescient political masterpiece 'The novel that I love the most is The Quiet American' Ian McEwan Into the intrigue and violence of 1950s Indo-China comes CIA agent Alden Pyle, a young idealistic American sent to promote democracy through a mysterious 'Third Force'. As his naive optimism starts to cause bloodshed, his friend Fowler, a cynical foreign correspondent, finds it hard to stand aside and watch. But even as he intervenes he wonders why: for the greater good, or something altogether more complicated? WITH AN INTRODUCTION BY ZADIE SMITH",Americans,americans,http://books.google.com/books/content?id=APV3dBhwi5gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.97,1204.0,2004,180.0,91,20,0.0202,0.2427,0.1194,0.0974,0.1619,0.034,0.3245,"neutral,sadness"
9780099478423,The Heart of the Matter,Graham Greene,An assistant police commissioner in a West African coastal town lets passion overrule his honor.,Fiction,fiction,http://books.google.com/books/content?id=LkvkNUvCN2AC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.99,21116.0,2004,272.0,15,20,0.0033,0.008,0.1075,0.0018,0.0014,0.7973,0.0807,"disgust,anger"
9780099478447,The End of the Affair,Graham Greene,"Maurice Bendrix's love affair with his friend's wife, Sarah, had begun in London during the Blitz. One day, inexplicably and without warning, Sarah had broken off the relationship. Two years later, driven by obsessive jealousy and grief, Bendrix sends Parkis, a private detective, to follow Sarah.",Adultery,adultery,http://books.google.com/books/content?id=XB5tgtHWs2UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.94,36230.0,2004,160.0,46,20,0.0053,0.2243,0.4072,0.1893,0.1111,0.0439,0.0189,"anger,sadness"
9780099481249,Enduring Love,Ian McEwan,"""The story of how an ordinary man can be driven to the brink of murder and madness by the delusions of another. It begins on a windy summer's day in the Chilterns when the calm, organized life of Joe Rose is shattered by a ballooning accident.""--Publisher's description.",Accidents,accidents,http://books.google.com/books/content?id=S702H90xDekC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.63,29552.0,2004,245.0,47,20,0.0017,0.0253,0.0468,0.8728,0.0112,0.0147,0.0275,"fear,anger"
9780099481560,For Whom the Bell Tolls,Ernest Hemingway,"High in the pine forests of the Spanish Sierra, a guerrilla band prepares to blow up a vital bridge. Robert Jordan, a young American volunteer, has been sent to handle the dynamiting. There, in the mountains, he finds the dangers and the intense comradeship of war. And there he discovers Maria, a young woman who has escaped from Franco's rebels-",Americans,americans,http://books.google.com/books/content?id=EiWqPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.96,162.0,2005,490.0,60,19,0.0044,0.0081,0.0362,0.774,0.0043,0.153,0.02,"fear,disgust"
9780099481683,Skipping Christmas,John Grisham,"A classic tale for modern times, Skipping Christmas offers a hilarious look at the chaos and frenzy that has become part of our holiday tradition. Imagine a year without Christmas. No crowded shops, no corny office parties, no fruitcakes, no unwanted presents. That's just what Luther and Nora Krank have in mind when they decide that, just this once, they'll skip the holiday altogether. Theirs will be the only house on the street without a rooftop Frosty the snowman; they won't be hosting their annual Christmas Eve bash; they aren't even going to have a tree. They won't need one, because come December 25 they're setting sail on a Caribbean cruise. But, as this weary couple is about to discover, skipping Christmas brings enormous consequences - and isn't half as easy as they'd imagined.",Christmas,christmas,http://books.google.com/books/content?id=r58lD61nLEAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.48,44098.0,2004,198.0,134,20,0.0873,0.1816,0.0092,0.0089,0.018,0.0135,0.6814,"neutral,sadness"
9780099483472,All Quiet on the Western Front,Erich Maria Remarque,"All Quiet on the Western Front is probably the most famous anti-war novel ever written. The story is told by a young 'unknown soldier' in the trenches of Flanders during the First World War. Through his eyes we see all the realities of war; under fire, on patrol, waiting in the trenches, at home on leave, and in hospitals and dressing stations. Although there are vividly described incidents which remain in mind, there is no sense of adventure here, only the feeling of youth betrayed and a deceptively simple indictment of war - of any war - told for a whole generation of victims.","World War, 1914-1918","world war, 1914-1918",https://via.placeholder.com/128x192.png?text=No+Cover,3.95,1018.0,2005,216.0,104,19,0.0012,0.4497,0.045,0.0181,0.0023,0.4627,0.0211,"disgust,sadness"
9780099489986,Watermelon,Marian Keyes,"Claire's husband James leaves her for Denise from the flat downstairs, the day their first child is born. Broken-hearted, Claire returns home to her family to get better. So much better in fact, that when James slithers back into her life he's in for a surprise.",Fiction,fiction,http://books.google.com/books/content?id=-55iSi-yKusC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.78,63160.0,2005,520.0,46,19,0.0123,0.8835,0.0022,0.0023,0.0596,0.005,0.0351,"sadness,surprise"
9780099490685,The Invisible Writing,Arthur Koestler,"Taken together, Arthur Koestler's volumes of autobiography constitute an unrivalled study of twentieth-century man and his dilemma. ARROW IN THE BLUE ended with his joining the Communist Party and THE INVISIBLE WRITING covers some of the most important experiences in his life. We see him in Germany, Russia, England, France and Spain, working sometimes openly and sometimes underground for the cause in which he believed. This was the time of the 'seven years' night' over Europe - of Hitler's spectacular successes against the Western Democracies. They were also the years of the great Russian purges, which led to Koestler#s eventual break with Communism in 1938, after Hitler and Stalin between them had claimed the lives of most of his friends and relatives. This book tells of Koestler's travels through Russia and remote parts of Soviet Central Asia and of his life as an exile. It puts in perspective his experiences in Franco's prisons under sentence of death and in concentration camps in Occupied France (told at greater length in DIALOGUE WITH DEATH AND SCUM OF THE EARTH), and ends with his escape from Occupied France in 1940 to England, where he found stability and a new home. An epilogue brings the story up to 1953, when it was written. Koestler calls the book 'a typical case history of a member of the educated middle classes of Central Europe in our time'. It has two main themes: the historical background against which the author developed, and an unsparing analysis of his intellectual and spiritual development.","Authors, English","authors, english",http://books.google.com/books/content?id=GGIziAcbly8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.35,111.0,2005,528.0,254,19,0.0083,0.0662,0.0223,0.2526,0.0202,0.094,0.5364,"neutral,fear"
9780099498582,Dublin 4,Maeve Binchy,"A vintage collection of short stories set in the heart of Dublin, from the bestselling author of Light a Penny Candle and Circle of Friends. A society hostess entertains her husband's mistress to dinner; a country girl savours the delights of city life; a student faces the dilemma of unmarried pregnancy; and a drink-ridden photographer tries to relaunch a shattered career... This vintage collection of stories from the bestselling author of Light a Penny Candle and Circle of Friends is Maeve Binchy at her best - her trademark warmth, wit and compassion are unmistakeable.",Domestic fiction,domestic fiction,http://books.google.com/books/content?id=yPgE79B9h0gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.64,2089.0,2006,256.0,94,18,0.8439,0.0389,0.0048,0.0019,0.011,0.0169,0.0826,"joy,neutral"
9780099498599,Circle of Friends,Maeve Binchy,"It began with Benny Hogan and Eve Malone, growing up, inseparable, in the village of Knockglen. Benny--the only child, yearning to break free from her adoring parents...Eve--the orphaned offspring of a convent handyman and a rebellious blueblood, abandoned by her mother's wealthy family to be raised by nuns. Eve and Benny--they knew the sins and secrets behind every villager's lace curtains...except their own. It widened at Dublin, at the university where Benny and Eve met beautiful Nan Mahlon and Jack Foley, a doctor's handsome son. But heartbreak and betrayal would bring the worlds of Knockglen and Dublin into explosive collision. Long-hidden lies would emerge to test the meaning of love and the strength of ties held within the fragile gold bands of a... Circle Of Friends. From the Paperback edition.",College attendance,college attendance,http://books.google.com/books/content?id=P4-i_eBBhL8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.02,50668.0,2006,722.0,130,18,0.0082,0.9475,0.0115,0.0103,0.006,0.0066,0.01,"sadness,anger"
9780099498636,"Victoria Line, Central Line",Maeve Binchy,"A vintage collection of short stories from the bestselling author of Light a Penny Candle and Circle of Friends. Millions of people travel on London's tube every day, yet we usually give our fellow passengers only a cursory glance. But each one of these nameless passengers has their own story to tell. At Notting Hill, the mysterious secretary, harbouring her secrets, travels to work; at Highburyand Islington, Adam has a sudden change of heart; and at Holborn, a disastrous reunion is about to take place... With her characteristic mix of compassionate humour and biting realism, this vintage collection of stories is Maeve Binchy at her very best",London (England),london (england),http://books.google.com/books/content?id=V7kjF8MAhbsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.59,928.0,2006,432.0,107,18,0.2597,0.1092,0.0125,0.3365,0.0901,0.0054,0.1866,"fear,joy"
9780099498667,Firefly Summer,Maeve Binchy,"Firefly Summer is warm, humorous, sad and happy. Reading it is a joy' Irish Independent. Kate and John Ryan have four children, of whom the eldest are Michael and Dara. Their small town is peaceful and friendly, an unchanging background for a golden childhood. In long, hot summers Michael and Dara and their friends fish and swim or play in the ivy-clad ruins of Fernscourt, the great house burned down during the Troubles... No one in Mountfern has the slightest inkling of what it will mean when the ruins are bought by Patrick O'Neill, an Irish American with a dream in his heart and a great deal of money in his pocket. It is not until the very end of this drama, with its interlocking stories of love lost and won, ambitions nurtured and secrets betrayed, that Patrick O'Neill will understand the irony and the significance of his great dream for Mountfern.",Domestic fiction,domestic fiction,http://books.google.com/books/content?id=VEXwXNUsyHcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.9,10461.0,2006,928.0,152,18,0.757,0.1892,0.0063,0.0027,0.0086,0.0069,0.0293,"joy,sadness"
9780099556312,Airframe,Michael Crichton,"The twin jet plane en route to Denver from Hong Kong is merely a green radar blip half an hour off the California coast when the call comes through to air traffic control: 'Socal Approach, this is TransPacific 545. We have an emergency. ' The pilot requ",Adventure stories,adventure stories,http://books.google.com/books/content?id=drRsu1CjsYIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.7,65778.0,1997,431.0,47,27,0.0038,0.0464,0.0189,0.5967,0.0919,0.0054,0.237,"fear,neutral"
9780099578512,Midnight's Children,Salman Rushdie,"""Born at the stroke of midnight, at the precise moment of India's independence, Saleem Sinai is destined from birth to be special. For he is one of 1,001 children born in the midnight hour, children who all have special gifts, children with whom Saleem is telepathically linked. But there has been a terrible mix up at birth, and Saleem s life takes some unexpected twists and turns. As he grows up amidst a whirlwind of triumphs and disasters, Saleem must learn the ominous consequences of his gift, for the course of his life is inseparably linked to that of his motherland, and his every act is mirrored and magnified in the events that shape the newborn nation of India. It is a great gift, and a terrible burden.""",Children of the rich,children of the rich,http://books.google.com/books/content?id=IyJxhWwMyxIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.99,83826.0,1995,647.0,128,29,0.0013,0.0047,0.0032,0.974,0.002,0.0089,0.0059,"fear,disgust"
9780099582014,Sabbath's Theater,Philip Roth,"Once a scandalously inventive puppeteer, Mickey Sabbath at sixty-four is still defiantly antagonistic and exceedingly libidinous. But after the death of his long-time mistress, Sabbath embarks on a turbulent journey into his past. Bereft and grieving, besieged by the ghosts of those who loved and hated him most, he contrives a succession of farcical disasters that take him to the brink of madness and extinction.",American fiction,american fiction,http://books.google.com/books/content?id=lm070nfcbeAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.85,122.0,1996,451.0,65,28,0.0068,0.502,0.0344,0.2968,0.0068,0.0458,0.1073,"sadness,fear"
9780099595816,Civilwarland in Bad Decline,George Saunders,"A brilliant collection of stories from the winner of the Folio Prize A collection of six stories and a novella, CIVILWARLAND IN BAD DECLINE introduces an astonishing new voice in American fiction. George Saunders' vision of America's near future is as black and funny as you can get. He takes us on a trip to the shopping malls and theme parks and enviromental hazards that lie just around the chronological corner, introducing us to gang of misfits and losers struggling to survive in an increasingly haywire world. Saunders' dialogue is superb, his plots marvellously bizarre: he is an original and uniquely American voice destined to become one of the most important literary discoveries of his generation.",Short stories,short stories,http://books.google.com/books/content?id=ZY7h1t8IZjUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.22,12271.0,1997,179.0,116,27,0.3059,0.0072,0.0153,0.0605,0.4662,0.0329,0.1119,"surprise,joy"
9780099730514,Six Memos for the Next Millennium,Italo Calvino,"SIX MEMOS FOR THE NEXT MILLENNIUM is the text to a series of lectures which became an obsession for Italo Calvino in the last year of his life. Drawing on the works of Lucretius, Ovid, Boccaccio, Falubert, Kundera, Perec and many more, he pinpoints the universal laws and indispensable literary values future generations might cherish -lightness, quickness, exactitude, visibility and multiplicity. It is an eloquent and lively 'defence' of literature - a fitting gift for the next millennium.",Literature,literature,http://books.google.com/books/content?id=grihPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,4.23,2887.0,1996,128.0,78,28,0.5381,0.0043,0.0044,0.0012,0.0126,0.0124,0.427,"joy,neutral"
9780099742005,Total Recall,Piers Anthony,"Douglas Quail is haunted by nightmares of Mars, covert missions and a life more glamorous than his earthbound 2089 AD reality. So he turns to Recall, manufacturers of synthetic memories. They implant a memory into him but he soon finds that his nightmares are true memories.",Fiction,fiction,https://via.placeholder.com/128x192.png?text=No+Cover,3.93,7932.0,1990,224.0,46,34,0.0008,0.0053,0.0013,0.9755,0.0057,0.0031,0.0082,"fear,neutral"
9780099748618,London Fields,Martin Amis,"The narrator, Samson Young, enters the Black Cross, a thoroughly undesirable public house, and finds the main players of his drama assembled, just waiting to begin. It's a gift of a story from real life. . . all Samson has to do is to write it as it happens. Taking a small pocket of time and a richly diverse part of London, Martin Amis dissects the nature of a society as it hurtles towards the millennium.",City and town life,city and town life,http://books.google.com/books/content?id=uhvuxNSWO6gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.73,8379.0,1999,526.0,76,25,0.0204,0.0231,0.0077,0.0109,0.0224,0.0899,0.8256,"neutral,disgust"
9780099766810,"Cry, the Beloved Country",Alan Paton,"Cry the Beloved Country is the deeply moving story of the Zulu pastor Stephen Kumalo and his son Absalom, set against the background of a land and a people riven by racial injustice. Remarkable for its contemporaneity, unforgettable for character and incident, Cry the Beloved Country is a classic work of love and hope, courage and endurance, born of the dignity of man.",Classical fiction,classical fiction,http://books.google.com/books/content?id=bHxyrMfxzwUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.89,729.0,2002,240.0,63,22,0.1033,0.0374,0.0102,0.0198,0.0146,0.0235,0.791,"neutral,joy"
9780099771814,American Pastoral,Philip Roth,"In American Pastoral, Philip Roth gives us a novel of unqualified greatness that is an elegy for all the twentieth century's promises of prosperity, civic order, and domestic bliss. Roth's protagonist is Seymour 'Swede' Levov - a legendary high school athlete, a devoted family man, a hard worker, the prosperous inheritor of his father's Newark glove factory - comes of age in thriving, triumphant post-war America. And then one day in 1968, Swede's beautiful American luck deserts him. For Swede's adored daughter, Merry, has grown from a loving, quick-witted girl into a sullen, fanatical teenager - a teenager capable of an outlandishly savage act of political terrorism. And overnight Swede is wrenched out of the longed-for American pastoral and into the indigenous American berserk. Compulsively readable, propelled by sorrow, rage, and a deep compassion for its characters, this is Roth's masterpiece.",American literature,american literature,http://books.google.com/books/content?id=O9E8gGrjhj4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.92,44929.0,1998,432.0,141,26,0.0195,0.6557,0.0949,0.0061,0.0047,0.0673,0.1518,"sadness,neutral"
9780099801900,Deception,Philip Roth,"A famous writer and his mistress meet in a room without a bed. They talk, they play games with each other, they have sex, they tell lies. This work since ""Complaint"", explores adultery and the unmasking of illicit lovers in a novel that exposes the tenderness and uncertainty underlying all affairs of the heart.",Adultery,adultery,http://books.google.com/books/content?id=0P2Yf1WvZ6oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.34,1474.0,1991,208.0,54,33,0.1035,0.055,0.0152,0.0075,0.0027,0.6723,0.1439,"disgust,neutral"
9780099910107,A Farewell to Arms,Ernest Hemingway,"In 1918 Ernest Hemingway went to war, to the 'war to end all wars'. He volunteered for ambulance service in Italy, was wounded and twice decorated. Out of his experiences came A Farewell to Arms. Hemingway's description of war is unforgettable. He recreates the fear, the comradeship, the courage of his young American volunteer and the men and women he meets in Italy with total conviction. But A Farewell to Arms is not only a novel of war. In it Hemingway has also created a love story of immense drama and uncompromising passion.",War,war,http://books.google.com/books/content?id=m68LhBiNv8YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,3.8,210197.0,1994,293.0,93,30,0.037,0.0099,0.006,0.7825,0.0041,0.0202,0.1404,"fear,neutral"
